Date,Open,High,Low,Close,Volume,Adj Close
2012-12-11,98.00,99.50,97.84,99.41,2308600,99.41
2012-12-10,98.67,99.31,97.98,98.08,1819200,98.08
2012-12-07,98.91,98.99,97.73,98.59,1854500,98.59
2012-12-06,97.47,98.68,97.23,98.42,2273000,98.42
2012-12-05,97.92,98.08,96.61,97.68,1691100,97.26
2012-12-04,97.63,98.38,97.23,97.67,1757100,97.25
2012-12-03,97.66,98.91,97.09,97.56,2172000,97.14
2012-11-30,98.46,98.52,96.91,97.48,3167500,97.06
2012-11-29,99.58,100.33,98.80,98.97,2436000,98.54
2012-11-28,96.60,99.16,96.60,99.13,2153400,98.70
2012-11-27,96.05,98.00,96.05,97.01,2134300,96.59
2012-11-26,95.48,97.68,95.38,97.66,3013200,97.24
2012-11-23,96.00,96.76,95.88,96.75,838100,96.33
2012-11-21,95.56,95.83,94.96,95.60,1840900,95.19
2012-11-20,96.32,96.52,95.27,95.61,2275800,95.20
2012-11-19,93.49,96.34,93.46,96.32,2615600,95.91
2012-11-16,91.84,92.75,91.40,92.59,2997300,92.19
2012-11-15,90.29,91.22,90.07,90.83,1941100,90.44
2012-11-14,91.96,91.96,89.65,90.60,3254800,90.21
2012-11-13,91.17,92.66,91.03,91.47,1811500,91.08
2012-11-12,92.50,93.20,91.98,92.29,1494800,91.89
2012-11-09,91.69,93.00,91.68,92.31,1937200,91.91
2012-11-08,94.45,94.60,91.86,91.86,2612600,91.47
2012-11-07,95.72,95.88,94.62,94.65,1913800,94.24
2012-11-06,95.25,96.13,94.75,96.13,1956200,95.72
2012-11-05,94.55,95.48,94.35,95.26,1468200,94.85
2012-11-02,95.70,96.74,94.49,94.54,1816100,94.13
2012-11-01,91.90,95.60,91.90,95.35,3563700,94.94
2012-10-31,91.05,91.79,90.78,91.38,2282200,90.99
2012-10-26,91.08,91.35,90.32,91.15,3111000,90.76
2012-10-25,93.05,93.50,91.13,91.31,2504900,90.92
2012-10-24,93.74,93.81,92.46,92.89,2486900,92.49
2012-10-23,93.84,94.25,92.75,92.82,2346100,92.42
2012-10-22,95.42,96.35,93.82,94.48,2248200,94.07
2012-10-19,97.54,98.10,96.10,96.45,2335300,96.04
2012-10-18,97.70,98.07,97.02,97.57,1949400,97.15
2012-10-17,96.91,98.00,96.91,97.57,1781500,97.15
2012-10-16,96.28,97.61,96.14,97.24,2503000,96.82
2012-10-15,94.67,95.82,94.38,95.61,1881900,95.20
2012-10-12,95.04,95.46,94.33,94.42,1634300,94.01
2012-10-11,94.62,95.47,94.53,94.90,1984400,94.49
2012-10-10,94.86,95.46,94.15,94.22,1802200,93.81
2012-10-09,94.91,95.69,94.40,94.48,2444700,94.07
2012-10-08,95.01,95.79,94.75,94.99,1409500,94.58
2012-10-05,96.14,96.53,94.86,95.22,2311800,94.81
2012-10-04,94.33,95.96,94.00,95.89,3264600,95.48
2012-10-03,94.91,95.54,93.62,93.80,3692800,93.40
2012-10-02,96.06,96.20,94.58,94.95,2826400,94.54
2012-10-01,94.91,96.20,94.62,95.55,2768200,95.14
2012-09-28,93.06,96.18,92.79,94.91,6838600,94.50
2012-09-27,95.80,96.64,94.65,96.00,4849500,95.59
2012-09-26,94.96,96.21,94.33,95.49,2966500,95.08
2012-09-25,95.19,96.35,95.00,95.08,3998100,94.67
2012-09-24,95.60,96.35,94.00,95.32,2956200,94.91
2012-09-21,97.54,97.54,96.20,96.52,3414400,96.10
2012-09-20,98.40,98.40,96.38,96.72,3212600,96.30
2012-09-19,100.23,100.50,97.60,97.66,4667400,97.24
2012-09-18,97.70,98.25,97.07,97.72,3400300,97.30
2012-09-17,96.32,98.06,96.08,97.97,2344800,97.55
2012-09-14,98.92,99.10,95.89,96.64,5722600,96.22
2012-09-13,99.35,99.80,98.27,99.20,4331500,98.77
2012-09-12,99.84,100.92,99.40,100.84,2299500,100.41
2012-09-11,99.43,100.19,99.11,99.68,2460000,99.25
2012-09-10,99.25,100.90,99.03,100.04,2169400,99.61
2012-09-07,99.32,99.75,98.88,99.29,1747900,98.86
2012-09-06,97.75,99.55,97.47,99.46,2270900,99.03
2012-09-05,97.52,97.78,96.97,97.35,1572000,96.93
2012-09-04,97.19,97.89,96.24,97.26,1897300,96.84
2012-08-31,98.07,98.52,96.95,97.36,2032300,96.94
2012-08-30,97.89,98.48,97.53,97.75,1755100,97.33
2012-08-29,98.96,99.00,98.21,98.69,2367000,97.91
2012-08-28,96.21,99.29,95.85,98.87,4117900,98.09
2012-08-27,96.92,97.25,96.10,96.43,1730400,95.67
2012-08-24,95.44,97.13,95.44,96.86,2441000,96.09
2012-08-23,95.68,95.98,94.94,95.45,1690500,94.69
2012-08-22,95.78,95.99,95.19,95.77,1616300,95.01
2012-08-21,95.93,96.27,95.16,95.85,2138300,95.09
2012-08-20,96.22,96.77,95.59,95.77,1860400,95.01
2012-08-17,95.03,96.46,94.83,96.26,3073800,95.50
2012-08-16,94.21,95.39,93.43,94.78,3485700,94.03
2012-08-15,94.90,95.68,94.17,94.22,2616600,93.47
2012-08-14,96.12,96.14,94.70,94.91,2749700,94.16
2012-08-13,94.31,95.91,93.86,95.85,1720000,95.09
2012-08-10,94.65,94.98,94.33,94.50,2321000,93.75
2012-08-09,95.63,95.97,94.92,95.06,2478600,94.31
2012-08-08,95.78,96.21,95.20,95.90,2068500,95.14
2012-08-07,95.65,97.19,95.65,96.17,2078300,95.41
2012-08-06,94.73,95.74,94.65,95.52,1580400,94.76
2012-08-03,93.61,94.64,93.38,94.57,2249300,93.82
2012-08-02,91.98,92.99,91.04,92.54,2615400,91.81
2012-08-01,93.51,94.33,92.76,93.00,2398600,92.26
2012-07-31,95.04,95.58,93.25,93.35,3267500,92.61
2012-07-30,96.93,97.75,95.49,95.85,2278200,95.09
2012-07-27,96.82,97.45,95.64,97.03,2604900,96.26
2012-07-26,94.49,96.89,94.29,96.58,3691400,95.81
2012-07-25,93.54,94.25,93.10,93.51,2061200,92.77
2012-07-24,93.26,93.93,92.41,92.96,2076300,92.22
2012-07-23,92.05,93.26,91.34,92.85,2154800,92.11
2012-07-20,94.71,95.00,93.05,93.08,2993800,92.34
2012-07-19,95.20,95.98,94.11,95.26,2715300,94.50
2012-07-18,92.49,94.94,91.98,94.63,2741000,93.88
2012-07-17,92.48,93.43,91.91,92.76,2665000,92.02
2012-07-16,93.81,93.89,92.89,93.02,2921200,92.28
2012-07-13,92.26,94.29,92.04,93.97,2849100,93.22
2012-07-12,91.92,92.24,90.21,91.82,3741200,91.09
2012-07-11,91.67,92.40,90.50,92.26,4347400,91.53
2012-07-10,90.60,92.00,90.60,91.29,3632300,90.57
2012-07-09,91.21,91.70,90.00,90.28,3477500,89.56
2012-07-06,91.61,92.23,90.77,91.38,4049100,90.66
2012-07-05,90.70,92.70,90.55,92.20,5564300,91.47
2012-07-03,89.37,90.60,88.25,90.48,3749600,89.76
2012-07-02,88.39,89.49,88.03,88.85,5875400,88.15
2012-06-29,87.84,90.50,85.10,87.78,21584900,87.08
2012-06-28,97.54,98.48,95.84,96.89,5979200,96.12
2012-06-27,98.93,99.61,97.50,98.11,2805600,97.33
2012-06-26,97.76,98.86,97.30,98.45,2395000,97.67
2012-06-25,98.38,98.74,96.70,97.46,2968300,96.69
2012-06-22,98.91,99.52,98.28,99.40,3839300,98.61
2012-06-21,101.26,102.46,98.53,98.66,4013600,97.88
2012-06-20,102.56,102.72,100.63,101.20,3209900,100.40
2012-06-19,101.44,102.65,101.33,101.54,2159600,100.73
2012-06-18,101.53,101.73,100.13,101.40,3164200,100.60
2012-06-15,100.25,102.00,99.56,101.75,4207700,100.94
2012-06-14,103.46,103.46,99.36,100.02,6013100,99.23
2012-06-13,107.21,107.53,101.28,102.22,6264700,101.41
2012-06-12,107.59,108.66,106.74,107.60,2539900,106.75
2012-06-11,109.12,109.91,107.40,107.46,1564400,106.61
2012-06-08,107.38,108.77,106.31,108.64,1813600,107.78
2012-06-07,107.94,108.39,106.25,107.36,1769900,106.51
2012-06-06,106.09,107.10,105.73,107.07,1948500,106.22
2012-06-05,104.30,105.76,104.00,105.51,2295800,104.67
2012-06-04,104.55,105.12,103.14,104.70,2550500,103.87
2012-06-01,106.29,106.55,104.18,104.60,2344100,103.77
2012-05-31,108.50,108.85,106.66,108.18,2699200,107.32
2012-05-30,109.58,110.33,108.23,108.61,2589300,107.39
2012-05-29,109.51,110.92,109.14,110.92,2183700,109.68
2012-05-25,107.92,109.19,107.62,108.79,1671900,107.57
2012-05-24,107.67,108.64,106.78,107.48,2157400,106.27
2012-05-23,107.77,109.00,106.18,107.52,2128300,106.31
2012-05-22,107.24,109.15,107.20,108.45,2553500,107.23
2012-05-21,105.31,107.36,105.31,107.23,2258600,106.03
2012-05-18,105.40,107.78,105.08,105.44,3961200,104.26
2012-05-17,106.78,107.00,104.27,104.34,2361100,103.17
2012-05-16,107.74,108.92,106.22,107.00,2491300,105.80
2012-05-15,107.31,109.01,107.01,107.22,1781900,106.02
2012-05-14,107.65,108.46,106.94,107.47,1409100,106.26
2012-05-11,107.20,109.30,106.66,108.26,1582100,107.05
2012-05-10,109.03,109.51,107.24,107.56,2364700,106.35
2012-05-09,107.43,108.88,107.08,108.15,2256500,106.94
2012-05-08,109.80,110.15,106.56,108.73,3514700,107.51
2012-05-07,111.40,112.30,111.20,111.42,1716000,110.17
2012-05-04,113.90,114.05,111.54,111.81,1801400,110.56
2012-05-03,114.21,114.81,113.52,114.40,2585200,113.12
2012-05-02,111.04,114.56,111.04,114.28,2645300,113.00
2012-05-01,111.91,112.00,110.50,111.30,2541000,110.05
2012-04-30,111.00,112.00,111.00,111.87,2388100,110.61
2012-04-27,110.09,111.56,109.81,110.64,2337300,109.40
2012-04-26,109.03,110.75,108.73,110.35,1557100,109.11
2012-04-25,107.17,109.06,106.93,109.03,2097100,107.81
2012-04-24,108.99,109.76,106.34,106.75,3313600,105.55
2012-04-23,109.83,109.98,108.67,109.75,1588800,108.52
2012-04-20,109.73,111.44,109.73,110.77,2324900,109.53
2012-04-19,110.63,110.95,109.03,109.61,2006900,108.38
2012-04-18,109.34,110.95,109.05,110.56,2043700,109.32
2012-04-17,109.86,110.00,109.20,109.83,1443000,108.60
2012-04-16,109.07,109.88,108.68,109.40,1783800,108.17
2012-04-13,108.85,109.63,108.28,108.80,1439100,107.58
2012-04-12,108.14,108.70,107.17,108.65,2879500,107.43
2012-04-11,107.70,108.77,107.47,108.25,3008000,107.04
2012-04-10,110.48,110.50,105.93,106.46,4216200,105.27
2012-04-09,108.89,111.00,108.51,110.69,2827400,109.45
2012-04-05,109.03,110.53,109.00,110.39,2196900,109.15
2012-04-04,109.15,109.89,108.68,109.49,2216700,108.26
2012-04-03,108.81,109.89,108.30,109.87,2204700,108.64
2012-04-02,108.42,109.83,107.99,109.02,2447000,107.80
2012-03-30,108.38,109.18,107.85,108.44,2317600,107.22
2012-03-29,106.30,107.99,106.30,107.85,1963400,106.64
2012-03-28,107.61,107.93,106.28,107.23,2309700,106.03
2012-03-27,108.71,109.17,107.72,107.88,2532700,106.67
2012-03-26,107.88,108.80,107.72,108.55,3128000,107.33
2012-03-23,111.21,111.50,106.07,107.42,6626700,106.21
2012-03-22,110.11,111.63,109.08,110.99,5113500,109.74
2012-03-21,112.07,112.70,110.38,110.44,3777000,109.20
2012-03-20,111.73,112.97,111.73,111.74,2669700,110.49
2012-03-19,111.90,112.52,110.96,112.13,2600000,110.87
2012-03-16,110.74,111.78,110.56,111.22,3612300,109.97
2012-03-15,110.83,111.07,110.31,110.73,1824400,109.49
2012-03-14,110.90,111.23,110.16,110.30,1863200,109.06
2012-03-13,110.00,110.84,109.54,110.76,2382900,109.52
2012-03-12,108.80,109.92,108.60,109.45,2302100,108.22
2012-03-09,108.64,110.15,108.20,109.98,2453100,108.75
2012-03-08,108.13,108.50,107.66,107.90,1141300,106.69
2012-03-07,107.46,108.15,107.30,107.58,1785900,106.37
2012-03-06,108.56,109.22,106.97,107.34,1971800,106.14
2012-03-05,108.70,109.67,108.30,109.24,1784800,108.01
2012-03-02,108.67,109.06,107.95,108.74,1752900,107.52
2012-03-01,108.89,108.98,108.02,108.54,1767600,107.32
2012-02-29,107.51,108.28,106.93,107.92,1769900,106.35
2012-02-28,107.41,107.63,106.52,107.43,1262000,105.87
2012-02-27,105.88,107.71,105.54,107.17,1519200,105.61
2012-02-24,106.11,106.60,105.63,106.29,1168900,104.75
2012-02-23,105.92,106.70,105.54,106.14,1465200,104.60
2012-02-22,105.06,106.24,104.98,105.73,1559400,104.19
2012-02-21,106.59,107.18,104.71,104.95,1827300,103.43
2012-02-17,106.74,107.48,106.28,106.68,1739400,105.13
2012-02-16,106.47,107.43,105.55,106.16,1664600,104.62
2012-02-15,106.95,107.63,106.31,106.60,2482300,105.05
2012-02-14,104.79,106.64,104.29,106.63,2381200,105.08
2012-02-13,105.80,105.93,104.62,105.22,1468900,103.69
2012-02-10,105.07,105.59,104.76,105.41,1552100,103.88
2012-02-09,105.75,106.18,105.22,105.76,1461700,104.22
2012-02-08,104.52,106.66,104.52,105.93,2785800,104.39
